cat	pval	fdr	stars
Biotin biosynthesis	0.23219844206238	1	
Biotin biosynthesis Experimental	NA	NA	NA
Thiamin biosynthesis	0.830806446553945	1	
Cobalamin synthesis	NA	NA	NA
Riboflavin, FMN and FAD metabolism in plants	0.0945536748410881	1	
riboflavin to FAD	0.30492169182655	1	
Flavodoxin	NA	NA	NA
Riboflavin, FMN and FAD metabolism	0.121295039400759	1	
Pyridoxin (Vitamin B6) Biosynthesis	NA	NA	NA
Pyridoxin(Vitamin B6) Degradation Pathway	NA	NA	NA
NAD and NADP cofactor biosynthesis global	0.923209750174935	1	
Folate biosynthesis cluster	0.248043661429748	1	
Molybdenum cofactor biosynthesis	NA	NA	NA
Folate Biosynthesis	0.208240772067093	1	
Coenzyme A Biosynthesis	0.156338294702044	1	
dTDP-rhamnose synthesis	NA	NA	NA
CMP-N-acetylneuraminate Biosynthesis	NA	NA	NA
Polysaccharide deacetylases	NA	NA	NA
Phosphorylcholine incorporation in LPS	NA	NA	NA
Rhamnose containing glycans	NA	NA	NA
Exopolysaccharide Biosynthesis	NA	NA	NA
Sialic Acid Metabolism	NA	NA	NA
Murein Hydrolases	0.128077609572077	1	
UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	0.402283608088614	1	
YjeE	0.75255811785513	1	
Recycling of Peptidoglycan Amino Acids	NA	NA	NA
Peptidoglycan biosynthesis--gjo	0.781603285954309	1	
Teichoic and lipoteichoic acids biosynthesis	NA	NA	NA
D-Alanyl Lipoteichoic Acid Biosynthesis	NA	NA	NA
Sortase	NA	NA	NA
Polyglycerolphosphate lipoteichoic acid biosynthesis	NA	NA	NA
Bacitracin Stress Response	NA	NA	NA
Copper homeostasis	1	1	
Cobalt-zinc-cadmium resistance	0.623167513845493	1	
Resistance to Vancomycin	NA	NA	NA
Mercuric reductase	NA	NA	NA
Mercury resistance operon	NA	NA	NA
Tetracycline resistance, ribosome protection type	NA	NA	NA
Resistance to fluoroquinolones	0.613665761030273	1	
Tetracycline resistance, ribosome protection type, too	NA	NA	NA
Beta-lactamase	NA	NA	NA
Cadmium resistance	NA	NA	NA
Multidrug Resistance Efflux Pumps	NA	NA	NA
Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins)	1	1	
Mycobacterium virulence operon involved in an unknown function with a Jag Protein and YidC and YidD	NA	NA	NA
Mycobacterium virulence operon involved in DNA transcription	1	1	
Mycobacterium virulence operon possibly involved in quinolinate biosynthesis	NA	NA	NA
Listeria surface proteins: Internalin-like proteins	NA	NA	NA
Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	NA	NA	NA
Potassium homeostasis	0.106691368631893	1	
Hyperosmotic potassium uptake	NA	NA	NA
Conserved gene cluster possibly involved in RNA metabolism	NA	NA	NA
Phosphoglycerate mutase protein family	0.720525120556671	1	
Tungstate strays	NA	NA	NA
Muconate lactonizing enzyme family	NA	NA	NA
Bacillus subtilis scratch - gjo	NA	NA	NA
Phage tail proteins	NA	NA	NA
Phage replication	NA	NA	NA
Phage packaging machinery	NA	NA	NA
Phage tail proteins 2	NA	NA	NA
Phage capsid proteins	NA	NA	NA
IbrA and IbrB: co-activators of prophage gene expression	NA	NA	NA
Widespread colonization island	NA	NA	NA
ABC transporter tungstate (TC 3.A.1.6.2)	NA	NA	NA
ABC transporter oligopeptide (TC 3.A.1.5.1)	NA	NA	NA
ABC transporter dipeptide (TC 3.A.1.5.2)	NA	NA	NA
Bacterial signal recognition particle (SRP)	0.557721262355744	1	
Magnesium transport	0.3275799865074	1	
Transport of Nickel and Cobalt	NA	NA	NA
Copper Transport System	0.771561548770304	1	
NhaA, NhaD and Sodium-dependent phosphate transporters	NA	NA	NA
Tricarboxylate transport system	NA	NA	NA
ECF class transporters	NA	NA	NA
Ton and Tol transport systems	NA	NA	NA
TRAP Transporter collection	NA	NA	NA
Type IV pilus	NA	NA	NA
Iron acquisition in Streptococcus	NA	NA	NA
RNA pseudouridine syntheses	1	1	
tRNA nucleotidyltransferase	1	1	
Methylthiotransferases	NA	NA	NA
Ribonucleases in Bacillus	NA	NA	NA
RNA processing and degradation, bacterial	0.623167513845493	1	
RNA methylation	0.862764000194056	1	
16S rRNA modification within P site of ribosome	1	1	
